country,Number of TV shows and movies
", France, Algeria",1
Argentina,35
"Argentina, Brazil, France, Poland, Germany, Denmark",1
"Argentina, Chile",2
"Argentina, Chile, Peru",1
"Argentina, France",1
"Argentina, France, United States, Germany, Qatar",1
"Argentina, Spain",7
"Argentina, United States",1
"Argentina, Uruguay, Serbia",1
"Argentina, Uruguay, Spain, France",1
"Argentina, Venezuela",1
Australia,35
"Australia, Canada",1
"Australia, France",1
"Australia, France, Ireland",1
"Australia, India",1
"Australia, Iraq",1
"Australia, United Arab Emirates",2
"Australia, United Kingdom",1
"Australia, United Kingdom, Canada",1
"Australia, United Kingdom, United Arab Emirates, Canada",1
"Australia, United States",8
Austria,4
"Austria, Czech Republic",1
"Austria, United States",1
Bangladesh,3
Belgium,1
"Belgium, France",3
"Belgium, France, Netherlands",1
"Belgium, Ireland, Netherlands, Germany, Afghanistan",1
"Belgium, Netherlands",1
"Belgium, United Kingdom, United States",1
Brazil,46
"Brazil, France",2
"Brazil, France, Germany",1
"Brazil, India, China, United States",1
"Brazil, Netherlands, United States, Colombia, Austria, Germany",1
Bulgaria,1
"Bulgaria, United States",3
"Bulgaria, United States, Spain, Canada",1
Cambodia,1
"Cambodia, United States",1
Cameroon,1
Canada,107
"Canada, Belgium",1
"Canada, France, United States",1
"Canada, Germany",1
"Canada, Germany, France, United States",1
"Canada, Hungary, United States",1
"Canada, India",2
"Canada, Ireland, United States",1
"Canada, Japan, United States",1
"Canada, Luxembourg",1
"Canada, Mexico, Germany, South Africa",1
"Canada, Nigeria",1
"Canada, Nigeria, United States",1
"Canada, Norway",1
"Canada, South Africa",2
"Canada, South Korea, United States",1
"Canada, Spain",1
"Canada, Spain, France",1
"Canada, United Kingdom",1
"Canada, United Kingdom, United States",2
"Canada, United States",29
"Canada, United States, Cayman Islands",1
"Canada, United States, Denmark",1
"Canada, United States, Germany",1
"Canada, United States, India, United Kingdom",1
"Canada, United States, Mexico",1
"Canada, United States, United Kingdom",3
Chile,11
"Chile, Argentina",1
